Mean_Price_per_night;Datum;Delta Region
286.8;2019-04-23 08;100.0%
286.8;2019-04-23 09;100.0%
286.8;2019-04-23 10;
286.8;2019-04-23 11;
286.8;2019-04-23 12;
327.6;2019-04-23 13;
321.2;2019-04-23 14;
309;2019-04-23 15;
325.4;2019-04-23 16;
286.8;2019-04-23 17;
301.4;2019-04-23 18;
284.6;2019-04-23 20;
284.6;2019-04-23 21;
284.6;2019-04-23 22;
299.4;2019-04-23 23;
284.6;2019-04-24 00;
284.6;2019-04-24 01;
304.6;2019-04-24 02;
304.6;2019-04-24 03;
284.6;2019-04-24 04;
284.6;2019-04-24 05;
284.6;2019-04-24 06;
284.6;2019-04-24 07;
314;2019-04-24 08;
284.6;2019-04-24 09;
291.4;2019-04-24 10;
302;2019-04-24 11;
287.6;2019-04-24 12;
287.6;2019-04-24 13;
287.6;2019-04-24 14;
287.4;2019-04-24 15;
289;2019-04-24 16;
287.6;2019-04-24 17;
287.6;2019-04-24 18;
287.4;2019-04-24 19;
313.2;2019-04-24 20;
311.6;2019-04-24 21;
301;2019-04-24 22;
307.2;2019-04-24 23;
300.8;2019-04-25 00;
286.8;2019-04-25 01;
286.8;2019-04-25 02;
300.6;2019-04-25 03;
300.6;2019-04-25 04;
286.8;2019-04-25 05;
286.8;2019-04-25 06;
286.8;2019-04-25 07;
300.6;2019-04-25 08;
286.8;2019-04-25 09;
286.8;2019-04-25 10;
286.4;2019-04-25 11;
290.4;2019-04-25 12;
320.4;2019-04-25 13;
286.4;2019-04-25 14;
298;2019-04-25 15;
286.4;2019-04-25 16;
286.4;2019-04-25 17;
286.4;2019-04-25 18;
299.8;2019-04-25 19;
286;2019-04-25 20;
286;2019-04-25 21;
286;2019-04-25 22;
286;2019-04-25 23;
299.8;2019-04-26 00;
321.4;2019-04-26 01;
305.4;2019-04-26 02;
286;2019-04-26 03;
320;2019-04-26 04;
286;2019-04-26 05;
300.2;2019-04-26 06;
299.8;2019-04-26 07;
285.6;2019-04-26 08;
286;2019-04-26 09;
286;2019-04-26 10;
289.8;2019-04-26 11;
304;2019-04-26 12;
285.6;2019-04-26 13;
289.8;2019-04-26 14;
285.6;2019-04-26 15;
305.2;2019-04-26 16;
305.2;2019-04-26 17;
301.4;2019-04-26 18;
301.8;2019-04-26 19;
284.8;2019-04-26 20;
307.8;2019-04-26 21;
284.8;2019-04-26 22;
339.8;2019-04-26 23;
284.8;2019-04-27 00;
284.8;2019-04-27 01;
284.8;2019-04-27 02;
284.8;2019-04-27 03;
284.8;2019-04-27 04;
289;2019-04-27 05;
289;2019-04-27 06;
284.8;2019-04-27 07;
284.8;2019-04-27 08;
284.8;2019-04-27 09;
284.8;2019-04-27 10;
284.6;2019-04-27 11;
304.4;2019-04-27 12;
288.8;2019-04-27 13;
284.6;2019-04-27 14;
284.6;2019-04-27 15;
284.6;2019-04-27 16;
290.8;2019-04-27 17;
290.8;2019-04-27 18;
290.8;2019-04-27 19;
290.8;2019-04-27 20;
290.8;2019-04-27 21;
289.8;2019-04-27 22;
310.2;2019-04-27 23;
305.4;2019-04-28 00;
290.8;2019-04-28 01;
291;2019-04-28 02;
290.8;2019-04-28 03;
290.8;2019-04-28 04;
290.8;2019-04-28 05;
303.6;2019-04-28 06;
290.8;2019-04-28 07;
290.8;2019-04-28 08;
290.8;2019-04-28 09;
289.8;2019-04-28 10;
290.8;2019-04-28 11;
290.8;2019-04-28 12;
290;2019-04-28 13;
289.8;2019-04-28 14;
290.8;2019-04-28 15;
291;2019-04-28 16;
304.4;2019-04-28 17;
307;2019-04-28 18;
307.2;2019-04-28 19;
290.8;2019-04-28 20;
290.8;2019-04-28 21;
330.6;2019-04-28 22;
288.4;2019-04-28 23;
290.8;2019-04-29 00;
290.8;2019-04-29 01;
290;2019-04-29 02;
290.8;2019-04-29 03;
290.8;2019-04-29 04;
289.8;2019-04-29 05;
290.8;2019-04-29 06;
304.4;2019-04-29 07;
310.8;2019-04-29 08;
290.8;2019-04-29 09;
290.8;2019-04-29 10;
290.8;2019-04-29 11;
290.8;2019-04-29 12;
291;2019-04-29 13;
309.6;2019-04-29 14;
290.8;2019-04-29 15;
310.8;2019-04-29 16;
290.8;2019-04-29 17;
294.4;2019-04-29 18;
297;2019-04-29 19;
317.2;2019-04-29 20;
297.2;2019-04-29 21;
297;2019-04-29 22;
297;2019-04-29 23;
297.2;2019-04-30 00;
312.2;2019-04-30 01;
297.2;2019-04-30 02;
297.2;2019-04-30 03;
297.2;2019-04-30 04;
297.2;2019-04-30 05;
297.2;2019-04-30 06;
297.2;2019-04-30 07;
297.2;2019-04-30 08;
297.2;2019-04-30 09;
305.9;2019-04-30 10;
297.2;2019-04-30 11;
297.2;2019-04-30 12;
297.4;2019-04-30 13;
317.6;2019-04-30 14;
297.4;2019-04-30 15;
297.4;2019-04-30 16;
312;2019-04-30 17;
297.4;2019-04-30 18;
330.4;2019-04-30 19;
295.6;2019-04-30 20;
295.2;2019-04-30 21;
330.4;2019-04-30 22;
295.4;2019-04-30 23;
295.2;2019-05-01 00;
295.2;2019-05-01 01;
295.2;2019-05-01 02;
295.8;2019-05-01 03;
295.2;2019-05-01 04;
295.2;2019-05-01 05;
295.2;2019-05-01 06;
295.2;2019-05-01 07;
296;2019-05-01 08;
295.4;2019-05-01 09;
298;2019-05-01 10;
298;2019-05-01 11;
318.2;2019-05-01 12;
298;2019-05-01 13;
298;2019-05-01 14;
298.6;2019-05-01 15;
298.4;2019-05-01 16;
298.4;2019-05-01 17;
297.4;2019-05-01 18;
297.2;2019-05-01 19;
297.2;2019-05-01 20;
297.2;2019-05-01 21;
297.4;2019-05-01 22;
297.4;2019-05-01 23;
338;2019-05-02 00;
297.2;2019-05-02 01;
297.2;2019-05-02 02;
297.2;2019-05-02 03;
297.2;2019-05-02 04;
311.4;2019-05-02 05;
297.2;2019-05-02 06;
297.2;2019-05-02 07;
297;2019-05-02 08;
297.2;2019-05-02 09;
328.6;2019-05-02 10;
311.6;2019-05-02 11;
297.2;2019-05-02 12;
297.2;2019-05-02 13;
297.2;2019-05-02 14;
297.2;2019-05-02 15;
297.2;2019-05-02 16;
297.2;2019-05-02 17;
297.2;2019-05-02 18;
337.6;2019-05-02 19;
317;2019-05-02 20;
296.8;2019-05-02 21;
330.6;2019-05-02 22;
297;2019-05-02 23;
297;2019-05-03 00;
294.6;2019-05-03 01;
296.8;2019-05-03 02;
296.8;2019-05-03 03;
296.8;2019-05-03 04;
317;2019-05-03 05;
312.2;2019-05-03 06;
297;2019-05-03 07;
296.8;2019-05-03 08;
311.2;2019-05-03 09;
296.8;2019-05-03 10;
296.6;2019-05-03 11;
337.6;2019-05-03 12;
296.6;2019-05-03 13;
316.4;2019-05-03 14;
316.4;2019-05-03 15;
337.6;2019-05-03 16;
297.4;2019-05-03 17;
296.6;2019-05-03 18;
313.8;2019-05-03 19;
330.6;2019-05-03 20;
337.6;2019-05-03 21;
337.6;2019-05-03 22;
296.6;2019-05-03 23;
294.2;2019-05-04 00;
294.2;2019-05-04 01;
296.6;2019-05-04 02;
297.4;2019-05-04 03;
296.6;2019-05-04 04;
296.8;2019-05-04 05;
296.6;2019-05-04 06;
296.6;2019-05-04 07;
296.6;2019-05-04 08;
313;2019-05-04 09;
298.6;2019-05-04 10;
298.4;2019-05-04 11;
298.6;2019-05-04 12;
298.6;2019-05-04 13;
298.4;2019-05-04 14;
332.8;2019-05-04 15;
298.6;2019-05-04 16;
299.2;2019-05-04 17;
298.6;2019-05-04 18;
318.4;2019-05-04 19;
298.6;2019-05-04 20;
298.4;2019-05-04 21;
339.6;2019-05-04 22;
298.6;2019-05-04 23;
312.8;2019-05-05 00;
312.8;2019-05-05 01;
312.8;2019-05-05 02;
312.8;2019-05-05 03;
312.8;2019-05-05 04;
312.8;2019-05-05 05;
312.8;2019-05-05 06;
312.8;2019-05-05 07;
312.8;2019-05-05 08;
312.8;2019-05-05 09;
312.8;2019-05-05 10;
312.8;2019-05-05 11;
312.8;2019-05-05 12;
313.6;2019-05-05 13;
312.8;2019-05-05 14;
312.8;2019-05-05 15;
335;2019-05-05 16;
353.8;2019-05-05 17;
312.8;2019-05-05 18;
312.8;2019-05-05 19;
312.8;2019-05-05 20;
312.8;2019-05-05 21;
312.8;2019-05-05 22;
315;2019-05-05 23;
332.4;2019-05-06 00;
312.8;2019-05-06 01;
312.8;2019-05-06 02;
313.6;2019-05-06 03;
312.8;2019-05-06 04;
312.8;2019-05-06 05;
312.8;2019-05-06 06;
312.8;2019-05-06 07;
312.8;2019-05-06 08;
312.8;2019-05-06 09;
353.6;2019-05-06 10;
312.8;2019-05-06 11;
312.8;2019-05-06 12;
312.8;2019-05-06 13;
312.8;2019-05-06 14;
312.8;2019-05-06 15;
312.8;2019-05-06 16;
313.6;2019-05-06 17;
312.8;2019-05-06 18;
353.6;2019-05-06 19;
353.6;2019-05-06 20;
312.8;2019-05-06 21;
312.8;2019-05-06 22;
312.8;2019-05-06 23;
353.8;2019-05-07 00;
312.8;2019-05-07 01;
315;2019-05-07 02;
312.8;2019-05-07 03;
312.8;2019-05-07 04;
312.8;2019-05-07 05;
315;2019-05-07 06;
312.8;2019-05-07 07;
316.8;2019-05-07 08;
316.8;2019-05-07 09;
318.8;2019-05-07 10;
336.8;2019-05-07 11;
339;2019-05-07 12;
317;2019-05-07 13;
319;2019-05-07 14;
317.2;2019-05-07 15;
317.2;2019-05-07 16;
317.2;2019-05-07 17;
317.2;2019-05-07 18;
315.2;2019-05-07 19;
317.4;2019-05-07 20;
315.4;2019-05-07 21;
317.2;2019-05-07 22;
358;2019-05-07 23;
315.4;2019-05-08 00;
317.4;2019-05-08 01;
315.4;2019-05-08 02;
317.4;2019-05-08 03;
317.6;2019-05-08 04;
317.6;2019-05-08 05;
315.6;2019-05-08 06;
315.4;2019-05-08 07;
356.4;2019-05-08 08;
317.6;2019-05-08 09;
318.4;2019-05-08 10;
317.6;2019-05-08 11;
317.6;2019-05-08 12;
317.6;2019-05-08 13;
317.4;2019-05-08 14;
315.4;2019-05-08 15;
315.8;2019-05-08 16;
315.8;2019-05-08 17;
316.2;2019-05-08 18;
316.8;2019-05-08 19;
316.6;2019-05-08 20;
314.8;2019-05-08 21;
316.8;2019-05-08 22;
316.6;2019-05-08 23;
315.2;2019-05-09 00;
314.8;2019-05-09 01;
260.8;2019-05-09 02;
314.8;2019-05-09 03;
314.8;2019-05-09 04;
334.8;2019-05-09 05;
242.2;2019-05-09 06;
315;2019-05-09 07;
314.8;2019-05-09 08;
314.8;2019-05-09 09;
358;2019-05-09 10;
314.6;2019-05-09 11;
190;2019-05-09 12;
260.6;2019-05-09 13;
260.6;2019-05-09 14;
260.6;2019-05-09 15;
262.6;2019-05-09 16;
261.4;2019-05-09 17;
260.6;2019-05-09 18;
260.4;2019-05-09 19;
260.6;2019-05-09 20;
260.4;2019-05-09 21;
263;2019-05-09 22;
260.4;2019-05-09 23;
118.4;2019-05-10 00;
262;2019-05-10 01;
260.4;2019-05-10 02;
260.2;2019-05-10 03;
216.6;2019-05-10 04;
260.2;2019-05-10 05;
262.2;2019-05-10 06;
118.2;2019-05-10 07;
281.6;2019-05-10 08;
262.2;2019-05-10 09;
260.2;2019-05-10 10;
262;2019-05-10 11;
262.2;2019-05-10 12;
262;2019-05-10 13;
262;2019-05-10 14;
262.2;2019-05-10 15;
45.6;2019-05-10 16;
262;2019-05-10 17;
262;2019-05-10 18;
262;2019-05-10 19;
262;2019-05-10 20;
143.8;2019-05-10 21;
302.8;2019-05-10 22;
262;2019-05-10 23;
262;2019-05-11 00;
259.8;2019-05-11 01;
113.4;2019-05-11 02;
259.8;2019-05-11 03;
261.8;2019-05-11 05;
259.8;2019-05-11 06;
259.8;2019-05-11 07;
259.8;2019-05-11 08;
118.2;2019-05-11 09;
252.4;2019-05-11 10;
259.8;2019-05-11 11;
246.4;2019-05-11 12;
102.8;2019-05-11 13;
247.6;2019-05-11 14;
245.6;2019-05-11 15;
245.8;2019-05-11 16;
245.6;2019-05-11 17;
247.6;2019-05-11 18;
264;2019-05-11 19;
245.8;2019-05-11 20;
245.6;2019-05-11 21;
245.6;2019-05-11 22;
245.6;2019-05-11 23;
245.6;2019-05-12 00;
247.8;2019-05-12 01;
208.6;2019-05-12 02;
182.6;2019-05-12 03;
284.8;2019-05-12 04;
208.8;2019-05-12 05;
247.8;2019-05-12 06;
104;2019-05-12 07;
247.6;2019-05-12 08;
247.6;2019-05-12 09;